Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0603_1608Metric,100.660005,-42.4975,-90.0,top
C2,22n,C_0603_1608Metric,91.560005,-66.7345,0.0,top
C3,47p,C_0603_1608Metric,92.310005,-63.9845,90.0,top
C4,680p,C_0603_1608Metric,111.336307,-243.357311,0.0,top
C5,2.2u,C_0603_1608Metric,99.641005,-65.4845,0.0,top
C6,2.2u,C_0603_1608Metric,114.710005,-42.4975,-90.0,top
C7,1.5u,C_0603_1608Metric,99.3135,-184.1345,90.0,top
C8,680p,C_0603_1608Metric,97.286307,-242.9845,0.0,top
C9,1u,C_0603_1608Metric,107.584854,-264.5,180.0,top
C10,1u,C_0603_1608Metric,99.2135,-264.4345,180.0,top
C11,1u,C_0603_1608Metric,103.9385,-267.5345,0.0,top
C12,1u,C_0603_1608Metric,106.5665,-273.0345,-90.0,top
C13,220p,C_0603_1608Metric,108.25,-285.2845,180.0,top
C14,220p,C_0603_1608Metric,100.25,-286.75,0.0,top
C15,220p,C_0603_1608Metric,100.25,-285.0,180.0,top
C16,220p,C_0603_1608Metric,92.5,-285.2845,0.0,top
C17,1u,C_0603_1608Metric,96.2635,-275.8095,90.0,top
C18,10u,C_0805_2012Metric,94.2635,-276.8095,90.0,top
C19,1u,C_0603_1608Metric,106.4885,-276.4675,90.0,top
C20,10u,C_0805_2012Metric,108.5885,-276.6675,90.0,top
C21,22n,C_0603_1608Metric,105.610005,-66.7345,0.0,top
C22,1.5u,C_0603_1608Metric,113.3635,-184.1345,90.0,top
C23,47p,C_0603_1608Metric,106.360005,-63.9845,90.0,top
C24,2.2u,C_0603_1608Metric,113.691005,-65.4845,0.0,top
C25,680p,C_0603_1608Metric,125.422807,-243.352075,0.0,top
C26,2.2u,C_0603_1608Metric,128.796505,-42.492264,-90.0,top
C27,22n,C_0603_1608Metric,119.696505,-66.729264,0.0,top
C28,1.5u,C_0603_1608Metric,127.45,-184.129264,90.0,top
C29,47p,C_0603_1608Metric,120.446505,-63.979264,90.0,top
C30,2.2u,C_0603_1608Metric,127.777505,-65.479264,0.0,top
C31,680p,C_0603_1608Metric,139.572807,-243.322811,0.0,top
C32,2.2u,C_0603_1608Metric,142.946505,-42.463,-90.0,top
C33,22n,C_0603_1608Metric,133.846505,-66.7,0.0,top
C34,1.5u,C_0603_1608Metric,141.6,-184.1,90.0,top
C35,47p,C_0603_1608Metric,134.596505,-63.95,90.0,top
C36,2.2u,C_0603_1608Metric,141.927505,-65.45,0.0,top
C37,680p,C_0603_1608Metric,167.772807,-243.323547,0.0,top
C38,2.2u,C_0603_1608Metric,171.146505,-42.463736,-90.0,top
C39,22n,C_0603_1608Metric,162.046505,-66.700736,0.0,top
C40,1.5u,C_0603_1608Metric,169.8,-184.100736,90.0,top
C41,47p,C_0603_1608Metric,162.796505,-63.950736,90.0,top
C42,2.2u,C_0603_1608Metric,170.127505,-65.450736,0.0,top
C43,680p,C_0603_1608Metric,153.672807,-243.323547,0.0,top
C44,2.2u,C_0603_1608Metric,157.046505,-42.463736,-90.0,top
C45,22n,C_0603_1608Metric,147.946505,-66.700736,0.0,top
C46,1.5u,C_0603_1608Metric,155.7,-184.100736,90.0,top
C47,47p,C_0603_1608Metric,148.696505,-63.950736,90.0,top
C48,2.2u,C_0603_1608Metric,156.027505,-65.450736,0.0,top
C49,680p,C_0603_1608Metric,181.872807,-243.323547,0.0,top
C50,2.2u,C_0603_1608Metric,185.246505,-42.463736,-90.0,top
C51,22n,C_0603_1608Metric,176.146505,-66.700736,0.0,top
C52,1.5u,C_0603_1608Metric,183.9,-184.100736,90.0,top
C53,47p,C_0603_1608Metric,176.896505,-63.950736,90.0,top
C54,2.2u,C_0603_1608Metric,184.227505,-65.450736,0.0,top
C55,680p,C_0603_1608Metric,195.922807,-243.323547,0.0,top
C56,2.2u,C_0603_1608Metric,199.296504,-42.463736,-90.0,top
C57,22n,C_0603_1608Metric,190.196504,-66.700736,0.0,top
C58,1.5u,C_0603_1608Metric,197.95,-184.100736,90.0,top
C59,47p,C_0603_1608Metric,190.946504,-63.950736,90.0,top
C60,2.2u,C_0603_1608Metric,198.277504,-65.450736,0.0,top
C61,680p,C_0603_1608Metric,210.022807,-243.323547,0.0,top
C62,2.2u,C_0603_1608Metric,213.396505,-42.463736,-90.0,top
C63,22n,C_0603_1608Metric,204.296505,-66.700736,0.0,top
C64,1.5u,C_0603_1608Metric,212.05,-184.100736,90.0,top
C65,47p,C_0603_1608Metric,205.046505,-63.950736,90.0,top
C66,2.2u,C_0603_1608Metric,212.377505,-65.450736,0.0,top
C67,680p,C_0603_1608Metric,224.122807,-243.323547,0.0,top
C68,2.2u,C_0603_1608Metric,227.496505,-42.463736,-90.0,top
C69,22n,C_0603_1608Metric,218.396505,-66.700736,0.0,top
C70,1.5u,C_0603_1608Metric,226.15,-184.100736,90.0,top
C71,47p,C_0603_1608Metric,219.146505,-63.950736,90.0,top
C72,2.2u,C_0603_1608Metric,226.477505,-65.450736,0.0,top
C73,680p,C_0603_1608Metric,238.222807,-243.373547,0.0,top
C74,2.2u,C_0603_1608Metric,241.596505,-42.513736,-90.0,top
C75,22n,C_0603_1608Metric,232.496505,-66.750736,0.0,top
C76,1.5u,C_0603_1608Metric,240.25,-184.150736,90.0,top
C77,47p,C_0603_1608Metric,233.246505,-64.000736,90.0,top
C78,2.2u,C_0603_1608Metric,240.577505,-65.500736,0.0,top
C79,680p,C_0603_1608Metric,252.322807,-243.372811,0.0,top
C80,2.2u,C_0603_1608Metric,255.696505,-42.513,-90.0,top
C81,22n,C_0603_1608Metric,246.596505,-66.75,0.0,top
C82,1.5u,C_0603_1608Metric,254.35,-184.15,90.0,top
C83,47p,C_0603_1608Metric,247.346505,-64.0,90.0,top
C84,2.2u,C_0603_1608Metric,254.677505,-65.5,0.0,top
C85,1u,C_0603_1608Metric,135.810355,-264.51375,180.0,top
C86,1u,C_0603_1608Metric,127.439,-264.44825,180.0,top
C87,1u,C_0603_1608Metric,132.164001,-267.54825,0.0,top
C88,1u,C_0603_1608Metric,134.792,-273.04825,-90.0,top
C89,220p,C_0603_1608Metric,136.4755,-285.29825,180.0,top
C90,220p,C_0603_1608Metric,128.4755,-286.76375,0.0,top
C91,220p,C_0603_1608Metric,128.4755,-285.01375,180.0,top
C92,220p,C_0603_1608Metric,120.7255,-285.29825,0.0,top
C93,1u,C_0603_1608Metric,124.489,-275.82325,90.0,top
C94,10u,C_0805_2012Metric,122.489,-276.82325,90.0,top
C95,1u,C_0603_1608Metric,134.714,-276.48125,90.0,top
C96,10u,C_0805_2012Metric,136.814,-276.68125,90.0,top
C97,1u,C_0603_1608Metric,163.974354,-264.543,180.0,top
C98,1u,C_0603_1608Metric,155.603,-264.4775,180.0,top
C99,1u,C_0603_1608Metric,160.328,-267.5775,0.0,top
C100,1u,C_0603_1608Metric,162.956,-273.0775,-90.0,top
C101,220p,C_0603_1608Metric,164.6395,-285.3275,180.0,top
C102,220p,C_0603_1608Metric,156.6395,-286.793,0.0,top
C103,220p,C_0603_1608Metric,156.6395,-285.043,180.0,top
C104,220p,C_0603_1608Metric,148.8895,-285.3275,0.0,top
C105,1u,C_0603_1608Metric,152.653,-275.8525,90.0,top
