Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,146.757,-106.465,0.0,top
C2,2.2u,C_0603_1608Metric,134.357,-109.591,0.0,top
C3,22n,C_0603_1608Metric,144.257,-114.265,0.0,top
C4,47p,C_0603_1608Metric,148.257,-108.865,180.0,top
C5,2.2u,C_0603_1608Metric,148.257,-112.865,0.0,top
C6,220u,C_Elec_6.3x5.8,155.957,-98.991,180.0,top
C7,1u,C_0603_1608Metric,150.057,-106.491,0.0,top
C8,1u,C_0603_1608Metric,152.157,-109.391,180.0,top
C9,1u,C_0603_1608Metric,152.657,-106.791,90.0,top
C10,1u,C_0603_1608Metric,157.957,-103.991,0.0,top
C11,1u,C_0603_1608Metric,160.557,-114.191,180.0,top
C12,10u,C_0805_2012Metric,160.757,-116.191,180.0,top
C13,1u,C_0603_1608Metric,161.257,-103.991,180.0,top
C14,10u,C_0805_2012Metric,161.457,-101.891,180.0,top
C15,220p,C_0603_1608Metric,170.557,-104.291,180.0,top
C16,220p,C_0603_1608Metric,170.257,-108.291,90.0,top
C17,220p,C_0603_1608Metric,170.157,-112.091,-90.0,top
C18,220p,C_0603_1608Metric,170.18,-116.332,90.0,top
FB1,5A/120Ohm,C_0805_2012Metric,167.057,-104.491,0.0,top
FB2,5A/120Ohm,C_0805_2012Metric,166.957,-107.491,0.0,top
FB3,5A/120Ohm,C_0805_2012Metric,166.957,-112.691,0.0,top
FB4,5A/120Ohm,C_0805_2012Metric,166.957,-115.491,0.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,169.799,-97.663,-90.0,top
J2,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,173.957,-109.291,180.0,top
J3,Conn_01x03_Male,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,181.61,-100.965,-90.0,top
R1,220,R_0603_1608Metric,126.957,-107.191,180.0,top
R2,10k,R_0603_1608Metric,143.357,-106.465,0.0,top
R3,10k,R_0603_1608Metric,140.057,-106.465,0.0,top
R4,20k,R_0603_1608Metric,130.957,-107.191,180.0,top
R5,10k,R_0603_1608Metric,135.257,-111.891,0.0,top
R6,1k,R_0603_1608Metric,140.857,-114.265,0.0,top
R7,100k,R_0603_1608Metric,148.257,-110.865,180.0,top
R8,10k,R_0603_1608Metric,153.257,-103.691,0.0,top
R9,10k,R_0603_1608Metric,152.157,-111.591,0.0,top
R10,10k,R_0603_1608Metric,163.195,-96.52,0.0,top
R11,0,R_0603_1608Metric,134.357,-107.191,180.0,top
RV1,100k,Potentiometer_Bourns_3224J_Horizontal,133.985,-100.291,-90.0,top
RV2,20k,Potentiometer_Bourns_3224J_Horizontal,139.827,-100.291,-90.0,top
RV3,20k,Potentiometer_Bourns_3224J_Horizontal,145.669,-100.291,-90.0,top
U1,ITR20403,Everlight_ITR20403,128.957,-110.591,0.0,top
U2,NE5532,SOP-8_3.76x4.96mm_P1.27mm,142.557,-110.365,0.0,top
U3,PAM8406D,SOP-16_3.9x9.9mm_P1.27mm,159.157,-108.991,-90.0,top
